Result of /data/leuven/370/vsc37064/new_queries_named_graph/query_25.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
softwareName                                                                      requirement
A Transformer-based Framework for Multivariate Time Series Representation Learning software                                                                                  pytorch
A Transformer-based Framework for Multivariate Time Series Representation Learning software                                                                                  tf
A Trigger-Sense Memory Flow Framework for Joint Entity and Relation Extraction software                                                                                  pytorch
A Tunable Robust Pruning Framework Through Dynamic Network Rewiring of DNNs software                                                                                  pytorch
A Two Stage Adaptation Framework for Frame Detection via Prompt Learning software                                                                                  pytorch
A Two-Layer Dialogue Framework For Authoring Social Bots software                                                                                  none
A Two-Stage Framework in Cross-Spectrum Domain for Real-Time Speech Enhancement software                                                                                  none
A Two-Stage Training Framework for Joint Speech Compression and Enhancement software                                                                                  pytorch
A Two-phase Framework with a Bézier Simplex-based Interpolation Method for Computationally Expensive Multi-objective Optimization software                                                                                  pytorch
A Unification Framework for Euclidean and Hyperbolic Graph Neural Networks software                                                                                  pytorch
A Unified Algorithm Framework for Unsupervised Discovery of Skills based on Determinantal Point Process software                                                                                  pytorch
A Unified Algorithmic Framework for Distributed Adaptive Signal and Feature Fusion Problems -- Part I: Algorithm Derivation software                                                                                  none
A Unified Algorithmic Framework for Distributed Adaptive Signal and Feature Fusion Problems -- Part II: Convergence Properties software                                                                                  none
A Unified Arbitrary Style Transfer Framework via Adaptive Contrastive Learning software                                                                                  pytorch
A Unified Audio-Visual Learning Framework for Localization, Separation, and Recognition software                                                                                  none
A Unified Batch Online Learning Framework for Click Prediction software                                                                                  none
A Unified Calibration Framework for 21 cm Cosmology software                                                                                  none
A Unified Continual Learning Framework with General Parameter-Efficient Tuning software                                                                                  pytorch
A Unified Diffusion Framework for Scene-aware Human Motion Estimation from Sparse Signals software                                                                                  none
A Unified Encoder-Decoder Framework with Entity Memory software                                                                                  pytorch
A Unified End-to-End Framework for Efficient Deep Image Compression software                                                                                  none
A Unified End-to-End Retriever-Reader Framework for Knowledge-based VQA software                                                                                  pytorch
A Unified Evaluation of Textual Backdoor Learning: Frameworks and Benchmarks software                                                                                  pytorch
A Unified Framework against Topology and Class Imbalance software                                                                                  mindspore
A Unified Framework for 3D Point Cloud Visual Grounding software                                                                                  pytorch
A Unified Framework for Alternating Offline Model Training and Policy Learning software                                                                                  pytorch
A Unified Framework for Compressive Video Recovery from Coded Exposure Techniques software                                                                                  pytorch
A Unified Framework for Connecting Noise Modeling to Boost Noise Detection software                                                                                  pytorch
A Unified Framework for Domain Adaptation using Metric Learning on Manifolds software                                                                                  none
A Unified Framework for Domain Adaptive Pose Estimation software                                                                                  pytorch
A Unified Framework for Factorizing Distributional Value Functions for Multi-Agent Reinforcement Learning software                                                                                  pytorch
A Unified Framework for Generalizable Style Transfer: Style and Content Separation software                                                                                  tf
A Unified Framework for Implicit Sinkhorn Differentiation software                                                                                  pytorch
A Unified Framework for Learned Sparse Retrieval software                                                                                  pytorch
A Unified Framework for Masked and Mask-Free Face Recognition via Feature Rectification software                                                                                  pytorch
A Unified Framework for Model Editing software                                                                                  pytorch
A Unified Framework for Multi-Domain CTR Prediction via Large Language Models software                                                                                  pytorch
A Unified Framework for Multi-intent Spoken Language Understanding with prompting software                                                                                  pytorch
A Unified Framework for Pun Generation with Humor Principles software                                                                                  pytorch
A Unified Framework for Quantifying Privacy Risk in Synthetic Data software                                                                                  none
A Unified Framework for Random Forest Prediction Error Estimation software                                                                                  none
A Unified Framework for Rank-based Evaluation Metrics for Link Prediction in Knowledge Graphs software                                                                                  pytorch
A Unified Framework for Rank-based Evaluation Metrics for Link Prediction in Knowledge Graphs software                                                                                  none
A Unified Framework for Rank-based Loss Minimization software                                                                                  pytorch
A Unified Framework for Slot based Response Generation in a Multimodal Dialogue System software                                                                                  pytorch
A Unified Framework for Soft Threshold Pruning software                                                                                  pytorch
A Unified Framework for Structured Graph Learning via Spectral Constraints software                                                                                  none
A Unified Framework for Structured Low-rank Matrix Learning software                                                                                  tf
A Unified Framework for Symmetry Handling software                                                                                  none
A Unified Framework for Tumor Proliferation Score Prediction in Breast Histopathology software                                                                                  tf
A Unified Framework for U-Net Design and Analysis software                                                                                  pytorch
A Unified Framework of Medical Information Annotation and Extraction for Chinese Clinical Text software                                                                                  pytorch
A Unified Framework of Surrogate Loss by Refactoring and Interpolation software                                                                                  pytorch
A Unified Generative Framework for Aspect-Based Sentiment Analysis software                                                                                  pytorch
A Unified Generative Framework for Various NER Subtasks software                                                                                  pytorch
A Unified Hard-Constraint Framework for Solving Geometrically Complex PDEs software                                                                                  pytorch
A Unified Inference Framework for Multiple Imputation Using Martingales software                                                                                  none
A Unified Instance Segmentation Framework for Completely Occluded Objects and Dense Objects in Robot Vision Measurement software                                                                                  pytorch
A Unified Joint Matrix Factorization Framework for Data Integration software                                                                                  none
A Unified Linear-Time Framework for Sentence-Level Discourse Parsing software                                                                                  pytorch
A Unified MRC Framework for Named Entity Recognition software                                                                                  pytorch
A Unified MRC Framework for Named Entity Recognition software                                                                                  tf
A Unified MRC Framework for Named Entity Recognition software                                                                                  none
A Unified Meta-Learning Framework for Dynamic Transfer Learning software                                                                                  pytorch
A Unified Multi-task Learning Framework for Multi-goal Conversational Recommender Systems software                                                                                  pytorch
A Unified Multimodal De- and Re-coupling Framework for RGB-D Motion Recognition software                                                                                  pytorch
A Unified Non-Negative Matrix Factorization Framework for Semi-Supervised Learning on Graphs software                                                                                  none
A Unified Optimization Framework for Low-Rank Inducing Penalties software                                                                                  none
A Unified Point-Based Framework for 3D Segmentation software                                                                                  tf
A Unified Positive-Unlabeled Learning Framework for Document-Level Relation Extraction with Different Levels of Labeling software                                                                                  pytorch
A Unified Pre-training Framework for Conversational AI software                                                                                  paddle
A Unified Pruning Framework for Vision Transformers software                                                                                  pytorch
A Unified Successive Pseudo-Convex Approximation Framework software                                                                                  none
A Unified Syntax-aware Framework for Semantic Role Labeling software                                                                                  pytorch
A Unified Taxonomy-Guided Instruction Tuning Framework for Entity Set Expansion and Taxonomy Expansion software                                                                                  pytorch
A Unified Transformer Framework for Group-based Segmentation: Co-Segmentation, Co-Saliency Detection and Video Salient Object Detection software                                                                                  pytorch
A Unified Wasserstein Distributional Robustness Framework for Adversarial Training software                                                                                  pytorch
A Unified and General Framework for Continual Learning software                                                                                  pytorch
A Uniform Framework for Anomaly Detection in Deep Neural Networks software                                                                                  tf
A Unifying Contrast Maximization Framework for Event Cameras, with Applications to Motion, Depth, and Optical Flow Estimation software                                                                                  none
A Unifying Framework for Flexible Excess Hazard Modeling with Applications in Cancer Epidemiology software                                                                                  none
A Unifying Framework for Gaussian Process Pseudo-Point Approximations using Power Expectation Propagation software                                                                                  none
A Unifying Framework for Interpolatory $ mathcal{L}_2$-optimal Reduced-order Modeling software                                                                                  none
A Unifying Framework for Parallel and Distributed Processing in R using Futures software                                                                                  none
A Unifying Framework for Spectrum-Preserving Graph Sparsification and Coarsening software                                                                                  none
A Unifying Framework of Attention-based Neural Load Forecasting software                                                                                  pytorch
A Unifying Variational Framework for Gaussian Process Motion Planning software                                                                                  tf
A Universal Framework for Accurate and Efficient Geometric Deep Learning of Molecular Systems software                                                                                  pytorch
A Universal Framework for Featurization of Atomistic Systems software                                                                                  pytorch
A Universal Framework for Reconstructing Complex Networks and Node Dynamics from Discrete or Continuous Dynamics Data software                                                                                  pytorch
A Universal Knowledge Embedded Contrastive Learning Framework for Hyperspectral Image Classification software                                                                                  pytorch
A Universal Update-pacing Framework For Visual Tracking software                                                                                  none
A User-Friendly Framework for Generating Model-Preferred Prompts in Text-to-Image Synthesis software                                                                                  pytorch
A User-Guided Bayesian Framework for Ensemble Feature Selection in Life Science Applications (UBayFS) software                                                                                  none
A VAE-based Framework for Learning Multi-Level Neural Granger-Causal Connectivity software                                                                                  pytorch
A Verifiable Framework for Cyber-Physical Attacks and Countermeasures in a Resilient Electric Power Grid software                                                                                  none
A Versatile Framework for Multi-scene Person Re-identification software                                                                                  pytorch
A Versatile and Efficient Reinforcement Learning Framework for Autonomous Driving software                                                                                  pytorch
A Versatile and Efficient Reinforcement Learning Framework for Autonomous Driving software                                                                                  none
A Visual Active Search Framework for Geospatial Exploration software                                                                                  pytorch
A Visual Analytics Framework for Explaining and Diagnosing Transfer Learning Processes software                                                                                  none
A Visual Analytics Framework for Reviewing Streaming Performance Data software                                                                                  none
A Wasserstein Minimax Framework for Mixed Linear Regression software                                                                                  none
A Weakly Supervised Learning Framework for Salient Object Detection via Hybrid Labels software                                                                                  pytorch
A Weakly Supervised Learning Framework for Salient Object Detection via Hybrid Labels software                                                                                  none
A Weakly Supervised Learning Framework for Salient Object Detection via Hybrid Labels software                                                                                  mindspore
A Zero-Shot Framework for Sketch-based Image Retrieval software                                                                                  tf
A blockchain framework for smart mobility software                                                                                  none
A budget-constrained inverse classification framework for smooth classifiers software                                                                                  none
A causal framework for distribution generalization software                                                                                  none
A causal inference framework for cancer cluster investigations using publicly available data software                                                                                  none
A causal inference framework for spatial confounding software                                                                                  none
A causal modelling framework for reference-based imputation and tipping point analysis software                                                                                  none
A citizen science toolkit to collect human perceptions of urban environments using open street view images software                                                                                  none
A closest point method library for PDEs on surfaces with parallel domain decomposition solvers and preconditioners software                                                                                  none
A clustering and graph deep learning-based framework for COVID-19 drug repurposing software                                                                                  none
A complete data-driven framework for the efficient solution of parametric shape design and optimisation in naval engineering problems software                                                                                  none
A complete framework for linear filtering of bivariate signals software                                                                                  none
A computational framework for modeling cell-matrix interactions in soft biological tissues software                                                                                  none
A computational framework for modelling infectious disease policy based on age and household structure with applications to the COVID-19 pandemic software                                                                                  none
A computational framework for physics-informed symbolic regression with straightforward integration of domain knowledge software                                                                                  pytorch
A computational framework for weighted simplicial homology software                                                                                  none
A cost-aware logical framework software                                                                                  none
A coupled cluster framework for electrons and phonons software                                                                                  none
A coupled high-accuracy phase-field fluid-structure interaction framework for Stokes fluid-filled fracture surrounded by an elastic medium software                                                                                  none
A data-centric framework for crystal structure identification in atomistic simulations using machine learning software                                                                                  none
A data-driven Koopman model predictive control framework for nonlinear flows software                                                                                  none
A data-driven framework for dimensionality reduction and causal inference in climate fields software                                                                                  none
A decentralized framework for simultaneous calibration, localization and mapping with multiple LiDARs software                                                                                  tf
A deep learning based steganography integration framework for ad-hoc cloud computing data security augmentation using the V-BOINC system software                                                                                  pytorch
A deep learning based steganography integration framework for ad-hoc cloud computing data security augmentation using the V-BOINC system software                                                                                  tf
A deep learning framework for Text-independent Writer Identification software                                                                                  none
A deep learning framework for morphologic detail beyond the diffraction limit in infrared spectroscopic imaging software                                                                                  pytorch
A deep learning framework for solution and discovery in solid mechanics software                                                                                  none
A deformation-based morphometry framework for disentangling Alzheimer's disease from normal aging using learned normal aging templates software                                                                                  tf
A differentiable programming framework for spin models software                                                                                  pytorch
A digital twin framework for civil engineering structures software                                                                                  tf
A distributed simulation framework for quantum networks and channels software                                                                                  none
A feature-based framework for detecting technical outliers in water-quality data from in situ sensors software                                                                                  none
A finite element implementation of surface elasticity at finite strains using the deal.II library software                                                                                  none
A flexible PageRank-based graph embedding framework closely related to spectral eigenvector embeddings software                                                                                  none
A flexible and fast PyTorch toolkit for simulating training and inference on analog crossbar arrays software                                                                                  pytorch
A flexible model-based framework for robust estimation of mutational signatures software                                                                                  none
A flexible model-free prediction-based framework for feature ranking software                                                                                  none
A flexible, extensible software framework for model compression based on the LC algorithm software                                                                                  pytorch
A formal framework for deliberated judgment software                                                                                  none
A framework for (under)specifying dependency syntax without overloading annotators software                                                                                  none
A framework for Multi-A(rmed)/B(andit) testing with online FDR control software                                                                                  none
A framework for adaptive width control of dense contour-parallel toolpaths in fused deposition modeling software                                                                                  none
A framework for algorithm deployment on cloud-based quantum computers software                                                                                  none
A framework for benchmarking class-out-of-distribution detection and its application to ImageNet software                                                                                  pytorch
A framework for benchmarking clustering algorithms software                                                                                  none
A framework for bilevel optimization that enables stochastic and global variance reduction algorithms software                                                                                  jax
A framework for causal segmentation analysis with machine learning in large-scale digital experiments software                                                                                  none
A framework for constrained static state estimation in unbalanced distribution networks software                                                                                  none
A framework for data-driven solution and parameter estimation of PDEs using conditional generative adversarial networks software                                                                                  none
A framework for deep learning emulation of numerical models with a case study in satellite remote sensing software                                                                                  tf
A framework for efficient ab initio electronic structure with Gaussian Process States software                                                                                  jax
A framework for estimating and visualising excess mortality during the COVID-19 pandemic software                                                                                  none
A framework for fully autonomous design of materials via multiobjective optimization and active learning: challenges and next steps software                                                                                  none
A framework for high-fidelity particle tracking on massively parallel systems software                                                                                  none
A framework for information extraction from tables in biomedical literature software                                                                                  none
A framework for interpretation and testing of sparse canonical correlations software                                                                                  none
A framework for invertible, real-time constant-Q transforms software                                                                                  pytorch
A framework for large-scale mapping of human settlement extent from Sentinel-2 images via fully convolutional neural networks software                                                                                  tf
A framework for leveraging machine learning tools to estimate personalized survival curves software                                                                                  none
A framework for planet detection with faint lightcurve echoes software                                                                                  none
A framework for probabilistic weather forecast post-processing across models and lead times using machine learning software                                                                                  none
A framework for reinforcement learning with autocorrelated actions software                                                                                  tf
A framework for remote sensing images processing using deep learning technique software                                                                                  tf
A framework for scale-sensitive, spatially explicit accuracy assessment of binary built-up surface layers software                                                                                  none
A framework for second order eigenvector centralities and clustering coefficients software                                                                                  none
A framework for simulation and inversion in electromagnetics software                                                                                  none
A framework for structural shape optimization based on automatic differentiation, the adjoint method and accelerated linear algebra software                                                                                  jax
A framework for the architecture of exoplanetary systems. I. Four classes of planetary system architecture software                                                                                  none
A framework for the architecture of exoplanetary systems. II. Nature versus nurture: Emergent formation pathways of architecture classes software                                                                                  none
A framework for the identification and classification of homogeneous socioeconomic areas in the analysis of health care variation software                                                                                  none
A framework to compare music generative models using automatic evaluation metrics extended to rhythm software                                                                                  none
A framework to create customised LHC analyses within CheckMATE software                                                                                  none
A framework to decipher the genetic architecture of combinations of complex diseases: applications in cardiovascular medicine software                                                                                  none
A framework to determine micro-level population figures using spatially disaggregated population estimates software                                                                                  none
A framework to generate hypergraphs with community structure software                                                                                  none
A framework to semantify BPMN models using DEMO business transaction pattern software                                                                                  none
A fully differentiable ligand pose optimization framework guided by deep learning and traditional scoring functions software                                                                                  pytorch
A fully-coupled framework for solving Cahn-Hilliard Navier-Stokes equations: Second-order, energy-stable numerical methods on adaptive octree based meshes software                                                                                  none
A functional scripting interface to an object oriented C++ library software                                                                                  none
A general forcefield for accurate phonon properties of metal-organic frameworks software                                                                                  none
A general framework for Vecchia approximations of Gaussian processes software                                                                                  none
A general framework for ensemble distribution distillation software                                                                                  pytorch
A general framework for implementing distances for categorical variables software                                                                                  none
A general framework for inference on algorithm-agnostic variable importance software                                                                                  none
A general framework for modeling and dynamic simulation of multibody systems using factor graphs software                                                                                  none
A general framework for multi-step ahead adaptive conformal heteroscedastic time series forecasting software                                                                                  tf
A general framework for penalized mixed-effects multitask learning with applications on DNA methylation surrogate biomarkers creation software                                                                                  none
A general framework for probabilistic sensitivity analysis with respect to distribution parameters software                                                                                  none
A general framework for rotation invariant point cloud analysis software                                                                                  none
A general framework for the rigorous computation of invariant densities and the coarse-fine strategy software                                                                                  none
A general graph-based framework for top-N recommendation using content, temporal and trust information software                                                                                  none
A general kernel boosting framework integrating pathways for predictive modeling based on genomic data software                                                                                  none
A generalised framework for detailed classification of swimming paths inside the Morris Water Maze software                                                                                  none
A generalized Bayesian framework for the analysis of subscription based businesses software                                                                                  none
A generalized framework to predict continuous scores from medical ordinal labels software                                                                                  pytorch
A generalized linear joint trained framework for semi-supervised learning of sparse features software                                                                                  none
A generative artificial intelligence framework based on a molecular diffusion model for the design of metal-organic frameworks for carbon capture software                                                                                  pytorch
A generic framework for privacy preserving deep learning software                                                                                  pytorch
A generic physics-informed neural network-based framework for reliability assessment of multi-state systems software                                                                                  tf
A geometric multigrid library for quadtree/octree AMR grids coupled to MPI-AMRVAC software                                                                                  none
A hierarchical semantic segmentation framework for computer vision-based bridge damage detection software                                                                                  pytorch
A high-accuracy framework for phase-field fracture interface reconstructions with application to Stokes fluid-filled fracture surrounded by an elastic medium software                                                                                  none
A hybrid Decoder-DeepONet operator regression framework for unaligned observation data software                                                                                  tf
A hybrid deep-learning-metaheuristic framework for bi-level network design problems software                                                                                  pytorch
A hybrid machine learning framework for clad characteristics prediction in metal additive manufacturing software                                                                                  none
A joint Bayesian framework for missing data and measurement error using integrated nested Laplace approximations software                                                                                  none
A library of quantitative markers of seizure severity software                                                                                  none
A lightweight MapReduce framework for secure processing with SGX software                                                                                  none
A logical framework with a graph meta-language software                                                                                  none
A loss discounting framework for model averaging and selection in time series models software                                                                                  none
A machine learning framework for computationally expensive transient models software                                                                                  none
A memory-efficient neural ODE framework based on high-level adjoint differentiation software                                                                                  pytorch
A meta-analytic framework to adjust for bias in external control studies software                                                                                  none
A meta-inference framework to integrate multiple external models into a current study software                                                                                  none
A model predictive control (MPC)-integrated multiphase immersed boundary (IB) framework for simulating wave energy converters (WECs) software                                                                                  none
A model-based framework for learning transparent swarm behaviors software                                                                                  pytorch
A modeling framework for coupling plasticity with species diffusion software                                                                                  none
A modelling framework for detecting and leveraging node-level information in Bayesian network inference software                                                                                  none
A modelling framework for the analysis of the SARS-CoV2 transmission dynamics software                                                                                  none
A modular vision language navigation and manipulation framework for long horizon compositional tasks in indoor environment software                                                                                  pytorch
A multi-layered blockchain framework for smart mobility data-markets software                                                                                  none
A multi-task semi-supervised framework for Text2Graph & Graph2Text software                                                                                  none
A multimodal deep learning framework for scalable content based visual media retrieval software                                                                                  none
A multiple testing framework for diagnostic accuracy studies with co-primary endpoints software                                                                                  none
A neuromorphic hardware architecture using the Neural Engineering Framework for pattern recognition software                                                                                  none
A new computational framework for log-concave density estimation software                                                                                  none
A new evaluation framework for topic modeling algorithms based on synthetic corpora software                                                                                  none
A new framework for experimental design using Bayesian Evidential Learning: the case of wellhead protection area software                                                                                  none
A nonparametric framework for inferring orders of categorical data from category-real ordered pairs software                                                                                  none
A nonparametric framework for treatment effect modifier discovery in high dimensions software                                                                                  none
A novel Fourier neural operator framework for classification of multi-sized images: Application to three dimensional digital porous media software                                                                                  pytorch
A novel Three-step Network-based Ecosystem Modelling Framework software                                                                                  none
A novel dual-stream time-frequency contrastive pretext tasks framework for sleep stage classification software                                                                                  pytorch
A novel framework for semi-Bayesian radial velocities through template matching software                                                                                  none
A numerical framework for computing steady states of size-structured population models and their stability software                                                                                  none
A numerical framework for elastic surface matching, comparison, and interpolation software                                                                                  pytorch
A parallel Fortran framework for neural networks and deep learning software                                                                                  tf
A parallel Fortran framework for neural networks and deep learning software                                                                                  none
A parallel non-uniform fast Fourier transform library based on an 'exponential of semicircle' kernel software                                                                                  none
A path-norm toolkit for modern networks: consequences, promises and challenges software                                                                                  pytorch
A physics-aware, probabilistic machine learning framework for coarse-graining high-dimensional systems in the Small Data regime software                                                                                  none
A physics-informed operator regression framework for extracting data-driven continuum models software                                                                                  tf
A practical PINN framework for multi-scale problems with multi-magnitude loss terms software                                                                                  tf
A practical framework for infinite-dimensional linear algebra software                                                                                  none
A probabilistic framework for task-aligned intra- and inter-area neural manifold estimation software                                                                                  none
A registration error estimation framework for correlative imaging software                                                                                  none
A research framework for writing differentiable PDE discretizations in JAX software                                                                                  jax
A robust feature reinforcement framework for heterogeneous graphs neural networks software                                                                                  pytorch
A sampling framework for counting temporal motifs software                                                                                  none
A scala library for spatial sensitivity analysis software                                                                                  none
A segmental framework for fully-unsupervised large-vocabulary speech recognition software                                                                                  pytorch
A segmental framework for fully-unsupervised large-vocabulary speech recognition software                                                                                  tf
A segmental framework for fully-unsupervised large-vocabulary speech recognition software                                                                                  none
A semi-supervised Teacher-Student framework for surgical tool detection and localization software                                                                                  pytorch
A sensor-to-pattern calibration framework for multi-modal industrial collaborative cells software                                                                                  none
A simulation framework for particle magnetization dynamics of large ensembles of single domain particles: Numerical treatment of Brown/Néel dynamics and parameter identification problems in magnetic particle imaging software                                                                                  none
A simulation framework of procurement operations in the container logistics industry software                                                                                  none
A soft nearest-neighbor framework for continual semi-supervised learning software                                                                                  pytorch
A stabilizer framework for Contextual Subspace VQE and the noncontextual projection ansatz software                                                                                  none
A standardized framework for risk-based assessment of treatment effect heterogeneity in observational healthcare databases software                                                                                  none
A statistical framework for model-based inverse problems in ultrasound elastography software                                                                                  none
A statistical mechanics framework for Bayesian deep neural networks beyond the infinite-width limit software                                                                                  pytorch
A structured matrix factorization framework for large scale calcium imaging data analysis software                                                                                  tf
A structured matrix factorization framework for large scale calcium imaging data analysis software                                                                                  none
A survey on Kornia: an Open Source Differentiable Computer Vision Library for PyTorch software                                                                                  pytorch
A survey on learning from imbalanced data streams: taxonomy, challenges, empirical study, and reproducible experimental framework software                                                                                  none
A synthetic data integration framework to leverage external summary-level information from heterogeneous populations software                                                                                  none
A theoretical framework for self-supervised MR image reconstruction using sub-sampling via variable density Noisier2Noise software                                                                                  pytorch
A thermodynamic framework for modelling membrane transporters software                                                                                  none
A toolkit for data-driven discovery of governing equations in high-noise regimes software                                                                                  none
A turbulent eddy-viscosity surrogate modeling framework for Reynolds-Averaged Navier-Stokes simulations software                                                                                  tf
A tutorial-driven introduction to the parallel finite element library FEMPAR v1.0.0 software                                                                                  none
A unified analysis framework for iterative parallel-in-time algorithms software                                                                                  none
A unified framework for 21cm tomography sample generation and parameter inference with Progressively Growing GANs software                                                                                  tf
A unified framework for Hamiltonian deep neural networks software                                                                                  pytorch
A unified framework for Simplicial Kuramoto models software                                                                                  none
A unified framework for bandit multiple testing software                                                                                  none
A unified framework for closed-form nonparametric regression, classification, preference and mixed problems with Skew Gaussian Processes software                                                                                  none
A unified framework for dataset shift diagnostics software                                                                                  none
A unified framework for machine learning collective variables for enhanced sampling simulations: $ texttt{mlcolvar}$ software                                                                                  pytorch
A unified framework for non-negative matrix and tensor factorisations with a smoothed Wasserstein loss software                                                                                  pytorch
A unified framework for spectral clustering in sparse graphs software                                                                                  none
A unified pseudo-$C_ ell$ framework software                                                                                  none
A unified scalable framework for causal sweeping strategies for Physics-Informed Neural Networks (PINNs) and their temporal decompositions software                                                                                  none
A unified sparse optimization framework to learn parsimonious physics-informed models from data software                                                                                  none
A unified, geometric framework for nonequilibrium protocol optimization software                                                                                  pytorch
A unifying algebraic framework for discontinuous Galerkin and flux reconstruction methods based on the summation-by-parts property software                                                                                  none
A unifying framework for mean-field theories of asymmetric kinetic Ising systems software                                                                                  none
A universal framework for accurate and efficient geometric deep learning of molecular systems software                                                                                  pytorch
A variance modeling framework based on variational autoencoders for speech enhancement software                                                                                  none
A viable framework for semi-supervised learning on realistic dataset software                                                                                  mindspore
A vision-based autonomous UAV inspection framework for unknown tunnel construction sites with dynamic obstacles software                                                                                  none
ABCD: A Graph Framework to Convert Complex Sentences to a Covering Set of Simple Sentences software                                                                                  pytorch
ABCD: A Graph Framework to Convert Complex Sentences to a Covering Set of Simple Sentences software                                                                                  none
ACER: An AST-based Call Graph Generator Framework software                                                                                  none
ACRO: A multi-language toolkit for supporting Automated Checking of Research Outputs software                                                                                  none
ACROPOLIS: A generiC fRamework fOr Photodisintegration Of LIght elementS software                                                                                  none
ADASR: An Adversarial Auto-Augmentation Framework for Hyperspectral and Multispectral Data Fusion software                                                                                  pytorch
ADAST: Attentive Cross-domain EEG-based Sleep Staging Framework with Iterative Self-Training software                                                                                  pytorch
ADCNet: a unified framework for predicting the activity of antibody-drug conjugates software                                                                                  tf
ADD: Augmented Disentanglement Distillation Framework for Improving Stock Trend Forecasting software                                                                                  pytorch
ADEPT: A DEbiasing PrompT Framework software                                                                                  pytorch
ADF & TransApp: A Transformer-Based Framework for Appliance Detection Using Smart Meter Consumption Series software                                                                                  pytorch
ADIOS 2: The Adaptable Input Output System. A framework for high-performance data management software                                                                                  none
ADMM-NN: An Algorithm-Hardware Co-Design Framework of DNNs Using Alternating Direction Method of Multipliers software                                                                                  pytorch
ADMap: Anti-disturbance framework for reconstructing online vectorized HD map software                                                                                  pytorch
ADRNet: A Generalized Collaborative Filtering Framework Combining Clinical and Non-Clinical Data for Adverse Drug Reaction Prediction software                                                                                  pytorch
ADS-Cap: A Framework for Accurate and Diverse Stylized Captioning with Unpaired Stylistic Corpora software                                                                                  pytorch
ADVISER: A Toolkit for Developing Multi-modal, Multi-domain and Socially-engaged Conversational Agents software                                                                                  pytorch
AFFIRM: Affinity Fusion-based Framework for Iteratively Random Motion correction of multi-slice fetal brain MRI software                                                                                  tf
AFN: Adaptive Fusion Normalization via Encoder-Decoder Framework software                                                                                  pytorch
AFN: Adaptive Fusion Normalization via an Encoder-Decoder Framework software                                                                                  pytorch
AGIF: An Adaptive Graph-Interactive Framework for Joint Multiple Intent Detection and Slot Filling software                                                                                  pytorch
AI Fairness 360: An Extensible Toolkit for Detecting, Understanding, and Mitigating Unwanted Algorithmic Bias software                                                                                  tf
AI Fairness 360: An Extensible Toolkit for Detecting, Understanding, and Mitigating Unwanted Algorithmic Bias software                                                                                  none
AI-Aristotle: A Physics-Informed framework for Systems Biology Gray-Box Identification software                                                                                  jax
AI-Lorenz: A physics-data-driven framework for black-box and gray-box identification of chaotic systems with symbolic regression software                                                                                  none
AI4Food-NutritionFW: A Novel Framework for the Automatic Synthesis and Analysis of Eating Behaviours software                                                                                  none
AIR-Nets: An Attention-Based Framework for Locally Conditioned Implicit Representations software                                                                                  pytorch
AIRD: Adversarial Learning Framework for Image Repurposing Detection software                                                                                  none
ALBench: A Framework for Evaluating Active Learning in Object Detection software                                                                                  pytorch
ALE: A Simulation-Based Active Learning Evaluation Framework for the Parameter-Driven Comparison of Query Strategies for NLP software                                                                                  none
AMORE-UPF at SemEval-2018 Task 4: BiLSTM with Entity Library software                                                                                  pytorch
AMRIC: A Novel In Situ Lossy Compression Framework for Efficient I/O in Adaptive Mesh Refinement Applications software                                                                                  none
AMoDSim: An Efficient and Modular Simulation Framework for Autonomous Mobility on Demand software                                                                                  none
ANIMC: A Soft Framework for Auto-weighted Noisy and Incomplete Multi-view Clustering software                                                                                  none
ANODEV2: A Coupled Neural ODE Framework software                                                                                  pytorch
ANTI-CARLA: An Adversarial Testing Framework for Autonomous Vehicles in CARLA software                                                                                  none
AOC-IDS: Autonomous Online Framework with Contrastive Learning for Intrusion Detection software                                                                                  pytorch
APFEL++: A new PDF evolution library in C++ software                                                                                  none

1000 Rows. -- 767 msec.
